year,fungii,black_f,plants,black_p,inver,black_i,ver,black_v,black_t
0,56,0,5625,0,2576,0,5580,0,0
2002,56,0,5054,571,2383,193,5228,352,1116
2003,56,0,4948,677,2380,196,5228,352,1225
2004,56,0,4793,832,2377,199,5061,519,1550
2005,56,0,5625,0,2576,0,5580,0,0
2006,56,0,4786,839,2366,210,5018,562,1611
2007,55,1,4780,845,2365,211,5006,574,1631
2008,55,1,4779,846,2326,250,4983,597,1694
2009,55,1,4775,850,2312,264,4966,614,1729
2010,55,1,4753,872,2286,290,4909,671,1834
2011,55,1,4709,916,2246,330,4869,711,1958
2012,55,1,4686,939,2219,357,4855,725,2022
2013,55,1,4618,1007,2194,382,4841,739,2129
2014,55,1,4567,1058,2162,414,4812,768,2241
2015,52,4,4502,1123,2156,420,4802,778,2325
2016,53,3,4461,1164,2129,447,4764,816,2430
2017,51,5,4374,1251,2087,489,4743,837,2582
2018,50,6,4295,1330,2072,504,4736,844,2684
2019,39,17,4048,1577,2054,522,4679,901,3017
2020,32,24,3589,2036,2027,549,4589,991,3600
2021,29,27,3375,2250,2011,565,4568,1012,3854
